0.581793766,0.401997543,ARD7TVE1187B99BFB1,0,0,0,Casual,0,hip hop,0
0.630630038,0.417499645,ARMJAGH1187FB546F3,35.14968,0,-90.04892,The Box Tops,0,blue-eyed soul,1969
0.487356791,0.343428378,ARKRRTF1187B9984DA,0,0,0,Sonora Santanera,0,salsa,0
0.630382334,0.454231157,AR7G5I41187FB4CE6C,0,0,0,Adam Ant,0,pop rock,1982
0.651045661,0.401723686,ARXR32B1187FB57099,0,0,0,Gob,0,pop punk,2007
0.535292736,0.385470551,ARKFYS91187B98E58F,0,0,0,Jeff And Sheri Easter,0,southern gospel,0
0.556495602,0.261941177,ARD0S291187B9B7BF5,0,0,0,Rated R,0,breakbeat,0
0.801136447,0.605507136,AR10USD1187B99F3F1,0,0,0,Tweeterfriendly Music,0,post-hardcore,0
0.426667857,0.332275747,AR8ZCNI1187B9A069B,0,0,0,Planet P Project,0,new wave,1984
0.550513698,0.422705641,ARNTLGG11E2835DDB9,0,0,0,Clp,0,breakcore,0
0.360031167,0.296268954,ARGSJW91187B9B1D6B,35.21962,0,-80.01955,JennyAnyKind,0,alternative rock,0
0.545159296,0.351555861,ARC43071187B990240,0,0,0,Wayne Watson,0,ccm,0
0.577508974,0.37948217,ARL7K851187B99ACD2,0,0,0,Andy Andy,0,bachata,0
0.085512047,0.251936525,ARHHO3O1187B989413,0,0,0,Bob Azzam,0,chanson,0
0.776675856,0.553071992,ARIK43K1187B9AE54C,0,0,0,Lionel Richie,0,quiet storm,1986
0.636423645,0.447935481,ARD842G1187B997376,43.64856,0,-79.38533,Blue Rodeo,0,country rock,1987
0.419943148,0.330806357,ARIG6O41187B988BDD,37.16793,0,-95.84502,Richard Souther,0,chill-out,0
0.363280571,0.306676094,AR1ZHYZ1187FB3C717,0,0,0,Faiz Ali Faiz,0,qawwali,0
0.707199764,0.51346329,ARYKCQI1187FB3B18F,0,0,0,Tesla,0,hard rock,2004
